104760,"[3737, 19450]",18486,1
129282,"[3647, 4342, 6855, 3805]",4206,1
130232,"[1805, 4309]",21354,1
124922,"[18209, 20753]",51924,0
176475,[13150],41455,1
42946,"[35120, 40418]",52035,0
123694,"[13515, 20363, 25356, 26891, 24200, 11694, 33378, 34483, 35370, 27311, 40689, 33319, 28819]",45554,1
161278,"[19254, 9021, 28156, 19193, 24602, 31171]",48895,1
16550,[4716],32497,1
158462,"[43799, 47108]",3503,0
185877,"[20554, 41800, 1582, 1951]",4320,0
90445,"[39713, 44272, 45136, 11687]",885,0
33137,"[14398, 33997]",20438,1
23511,"[29341, 25727]",4170,0
124533,"[12197, 10212]",31559,0
2254,[11551],53485,1
40107,[4553],7331,1
160277,"[15190, 19994, 33946, 30716, 31879, 45178, 51598, 46814]",24353,0
566,"[4931, 2200, 8338, 23530]",3525,0
173875,"[8881, 13274, 12683, 14696, 27693, 1395, 44373, 59704, 27762, 54268, 30326, 11811, 45371, 51598, 55859, 56039, 57678, 47250, 2073, 38932]",12361,1
128655,"[16297, 16797, 18629, 20922, 16727, 33946, 51165, 36796]",34724,1
156349,[22237],40786,0
142995,"[5396, 39993, 42681, 49832, 11208, 34954, 36523, 45523, 51618]",38201,0
104924,"[8881, 9029, 17043, 16620, 15021, 32706]",34941,0
177888,[53255],37953,1
87214,"[1010, 4172, 8613, 11562, 11709, 13118, 2027, 15446]",36998,0
182002,"[22357, 24305, 15222, 19254, 22914]",18201,1
139514,[1905],23877,1
182673,"[8444, 17868]",50732,0
177350,"[42301, 26186, 38086]",61547,0
173289,"[18156, 35717, 32070, 45650, 47208, 20975, 36409, 44856, 48072, 15860, 47043, 53289, 53314, 33470, 47926]",48170,1
111800,[56219],1988,0
19281,[22907],752,0
170630,"[22009, 32410, 42987, 48720, 683, 1289, 2731, 4736, 6306, 8442, 8946, 9928, 11536, 14947, 15793, 16694, 21736, 25156, 25797, 25874, 26573, 30318, 33946, 35420, 1492, 5236, 5555, 6625, 8867, 9638, 11443, 20225, 25965, 27273, 29001, 35302, 42336, 43347, 36907, 2012]",25540,0
34107,[20434],18056,0
43660,"[628, 5461]",43677,0
56685,"[16953, 15149, 45143, 23587, 5094, 25105, 51913, 54645]",57655,1
76552,"[13584, 7509]",33062,1
16078,"[170, 208, 77, 109, 738, 742, 1118, 15349, 255, 12067, 21643, 55453]",9821,1
110561,"[4970, 16672]",25685,1
81029,"[17240, 60546]",42110,1
52758,"[31503, 31226, 50628, 22444]",47812,0
168896,"[2443, 1763, 3403, 4225, 8951]",7954,1
20574,[3748],9171,1
100065,"[1755, 26204, 42716, 32991]",23910,1
21888,"[20637, 27122]",19669,0
131951,"[406, 872, 306, 218, 883, 1372, 1705, 1709, 7774, 2376, 2879, 2881, 13329, 4992, 13594, 11106, 7131, 8631, 1736, 17585, 2568, 16896, 21971, 10296, 22361, 24108, 23300, 11793, 25351, 2648, 24593, 12692, 23883, 25345, 27129, 26321, 21627, 20738, 17784, 28785, 29281, 28366, 24723, 24319, 12083, 29882, 29974, 30443, 30428, 17072, 9783, 16700, 29421, 32253, 28830, 31299, 28792, 33931, 24973, 33112, 21717, 28339, 23978, 18649, 1841, 17635, 19696, 37448, 20862, 30492, 35736, 37450, 2633, 8675, 17412, 25960, 28389, 31032, 37157, 14555, 4996, 33388, 33393, 36237, 38946, 22793, 24337, 34963, 38819, 41165, 39551, 43019, 15570, 25129, 34593, 38385, 42915, 41407, 29907, 31289, 44229, 24267, 34975, 39462, 33274, 43251, 38302, 35502, 44056, 44675, 45233, 47690, 33472, 50149, 29409, 47183, 49188, 48192, 50628, 24103, 28313, 28358, 38882, 44330, 44346, 2019, 2484, 2675, 26396, 48143, 46039, 47722, 48559, 41719, 41720, 43920, 41983, 51235, 34964, 27287, 51915, 33586, 43630, 47258, 52137, 40954, 35120, 29572, 42405, 53559, 44900, 45761]",49174,0
24206,"[29206, 60955]",61590,1
73280,"[8427, 9692, 4411, 3266, 18234, 22774]",23393,0
